card_id	card_type	mana	atk	hp	deckbuilding	abil_seq	abil_id	trigger	target	value	duration	mana_cost	exhaust	status	effects	conditions_trigger	conditions_target	filters_target	fx
large_eagle	Character	3	2	3	1	1	flying_attack_1	Ongoing	AllCardsBoard	1	0	0	0		EffectAddStat{type=10}		ConditionCardType{has_team=0;has_type=10;oper=0} + ConditionOwner{oper=0} + ConditionStatus{has_status=24;oper=0;value=0}		
large_eagle	Character	3	2	3	1	2	flying	Ongoing	Self	0	0	0	0	flying(StatusData.effect=24)					
octopus	Character	4	2	5	1	1	attack_roll_attack_bonus	OnBeforeAttack	Self	0	0	0	0		EffectRoll{dice=6}				
poison_frog	Character	3	2	2	1	1	deathtouch	Ongoing	Self	0	0	0	0	deathtouch(StatusData.effect=20)					
potion_blue	Spell	2	0	0	1	1	spell_shell	OnPlay	PlayTarget	0	0	0	0	shell(StatusData.effect=13)			ConditionTarget{oper=0;type=10} + ConditionOwner{oper=0}		
potion_blue	Spell	2	0	0	1	2	spell_heal_full	OnPlay	PlayTarget	99	0	0	0		EffectHeal{}		ConditionTarget{oper=0;type=10} + ConditionOwner{oper=0}		target_fx=(缺失)
pufferfish	Character	3	2	5	1	1	defense_attack3	Ongoing	Self	3	0	0	0		EffectAddStat{type=10}	ConditionTurn{oper=1}			
sea_monster	Character	6	4	7	1	1	aura_attack_m1	Ongoing	AllCardsBoard	-1	0	0	0		EffectAddStat{type=10}		ConditionCardType{has_team=0;has_type=10;oper=0} + ConditionSelf{oper=1} + ConditionOwner{oper=1}		
sea_monster	Character	6	4	7	1	2	activate_boost1	Activate	AllCardsBoard	1	1	0	1	add_attack(StatusData.effect=4)			ConditionCardType{has_team=0;has_type=10;oper=0} + ConditionOwner{oper=0}		caster_fx=(缺失)
seagull	Character	2	2	2	1	1	flying	Ongoing	Self	0	0	0	0	flying(StatusData.effect=24)					
shark	Character	4	4	4	1	1	death_other_draw	OnDeathOther	PlayerSelf	1	0	0	0		EffectDraw{}	ConditionCardType{has_team=0;has_type=10;oper=0}			
small_bird	Character	1	2	1	1	1	flying_ally	Ongoing	Self	0	0	0	0	flying(StatusData.effect=24)			ConditionOtherCardWithStatus{has_status=24;oper=2;value=1}		
spell_flood	Spell	3	0	0	1	1	spell_damage_per_hand	OnPlay	AllCardsBoard	1	0	0	0		EffectSetStat{type=20}		ConditionCardType{has_team=0;has_type=10;oper=0}		target_fx=(缺失)
spell_storm	Spell	5	0	0	1	1	spell_return_all	OnPlay	AllCardsBoard	0	0	0	0		EffectSendPile{pile=20}				target_fx=(缺失)
spell_submerge	Spell	2	0	0	1	1	spell_add_submerge	OnPlay	PlayTarget	0	0	0	0		EffectAddAbility{gain_ability→[defend_discard]}		ConditionTarget{oper=0;type=10} + ConditionOwner{oper=0}		target_fx=(缺失)
spell_treasure	Spell	3	0	0	1	1	spell_treasure	OnPlay	PlayerSelf	0	0	0	0		EffectSendPile{pile=20}				
spell_wave	Spell	3	0	0	1	1	spell_send_hand	OnPlay	PlayTarget	0	0	0	0		EffectSendPile{pile=20}		ConditionTarget{oper=0;type=10} + ConditionOwnerAI{oper=1}		target_fx=(缺失)
star_tower	Artifact	4	0	6	1	1	spell_draw_aura	OnPlayOther	PlayerSelf	1	0	0	0		EffectDraw{}	ConditionCardType{has_team=0;has_type=20;oper=0} + ConditionOwner{oper=0}			
town_underwater	Artifact	3	0	7	1	1	town_aura_blue	Ongoing	AllCardsHand	-1	0	0	0		EffectAddStat{type=30}		ConditionCardType{has_trait={fileID: 0};has_type=0;oper=0;has_team→[water]} + ConditionOwner{oper=0}		
trap_fish	Secret	3	0	0	1	1	secret_transform_fish	OnPlayOther	AbilityTriggerer	1	0	0	0		EffectTransform{transform_to→[fish]}	ConditionCardType{has_team=0;has_type=10;oper=0} + ConditionOwner{oper=1}			target_fx=(缺失)
turtle	Character	3	2	3	1	1	taunt	Ongoing	Self	0	0	0	0	taunt(StatusData.effect=14)					
turtle	Character	3	2	3	1	2	shell	OnPlay	Self	0	0	0	0	shell(StatusData.effect=13)					
waterfowl	Character	1	1	2	1	1	flying	Ongoing	Self	0	0	0	0	flying(StatusData.effect=24)					
