批次： full pass FINAL4｜用例数：309｜caster=火精灵
结果	编号	中文名	分类	测法	观测值	备注
✅	202027	揭示卡牌	卡牌	OnPlay → 202027「揭示卡牌」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202028	获得控制权	卡牌	OnPlay → 202028「获得控制权」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202048	设置卡牌属性可见性	卡牌	OnPlay → 202048「设置卡牌属性可见性」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	106030	卡牌属性是否可见	卡牌	OnPlay → 消费者(202001).v ← 106030「卡牌属性是否可见」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	202049	设置卡牌可见性	卡牌	OnPlay → 202049「设置卡牌可见性」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	106031	卡牌是否可见	卡牌	OnPlay → 消费者(202001).v ← 106031「卡牌是否可见」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	103004	卡牌定义是否具有标签	卡牌定义	OnPlay → 消费者(202001).v ← 103004「卡牌定义是否具有标签」.return；cardDefine ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	103005	卡牌定义类型判断	卡牌定义	OnPlay → 消费者(202001).v ← 103005「卡牌定义类型判断」.return；card ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	103024	卡牌定义类型判断	卡牌定义	OnPlay → 消费者(202001).v ← 103024「卡牌定义类型判断」.return；card ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	103006	卡牌定义关键词判断	卡牌定义	OnPlay → 消费者(202001).v ← 103006「卡牌定义关键词判断」.return；card ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	103008	获取单张卡牌的定义	卡牌定义	OnPlay → 消费者(202001).v ← 103008「获取单张卡牌的定义」.return；card ← 入口「卡牌」口(施法卡)；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	202029	变形为卡牌定义	卡牌定义	OnPlay → 202029「变形为卡牌定义」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202029 变形失败：卡牌定义不存在（define=""）	auto｜要求执行数≥1
✅	103020	获取卡牌定义属性	卡牌定义	OnPlay → 消费者(202001).v ← 103020「获取卡牌定义属性」.return；card ← DEFINE_OF_CASTER；取「Object」通道（GetObjectInput）	GetObjectInput 返回=2（类型 Int32）｜日志=—	auto｜
✅	103012	获取卡牌定义生命值	卡牌定义	OnPlay → 消费者(202001).v ← 103012「获取卡牌定义生命值」.return；card ← DEFINE_OF_CASTER；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=3（类型 Int32）｜日志=—	auto｜
✅	103013	获取卡牌定义法术伤害	卡牌定义	OnPlay → 消费者(202001).v ← 103013「获取卡牌定义法术伤害」.return；card ← DEFINE_OF_CASTER；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	103014	是否为衍生牌	卡牌定义	OnPlay → 消费者(202001).v ← 103014「是否为衍生牌」.return；cardDefine ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	103015	获取英雄牌技能	卡牌定义	OnPlay → 消费者(202001).v ← 103015「获取英雄牌技能」.return；card ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	202030	触发卡牌定义宣言	卡牌定义	OnPlay → 202030「触发卡牌定义宣言」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202030 失败：卡牌定义口为空（检查 cardDefine 取值线）	auto｜要求执行数≥1
✅	103017	卡牌定义具有宣言	卡牌定义	OnPlay → 消费者(202001).v ← 103017「卡牌定义具有宣言」.return；cardDefine ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202031	触发卡牌定义遗言	卡牌定义	OnPlay → 202031「触发卡牌定义遗言」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202031 失败：卡牌定义口为空（检查 cardDefine 取值线）	auto｜要求执行数≥1
✅	103018	卡牌定义具有遗言	卡牌定义	OnPlay → 消费者(202001).v ← 103018「卡牌定义具有遗言」.return；cardDefine ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202032	触发法术或技能卡牌定义效果	卡牌定义	OnPlay → 202032「触发法术或技能卡牌定义效果」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202032 失败：卡牌定义口为空（检查 cardDefine 取值线）	auto｜要求执行数≥1
✅	103021	卡牌定义是否是陷阱	卡牌定义	OnPlay → 消费者(202001).v ← 103021「卡牌定义是否是陷阱」.return；cardDefine ← DEFINE_OF_CASTER；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	103022	获取卡牌定义的合法使用目标	卡牌定义	OnPlay → 消费者(202001).v ← 103022「获取卡牌定义的合法使用目标」.return；source ← 入口「卡牌」口(施法卡)；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(1): [hero_fire#OXwUTv0rvbeh]（类型 List`1）｜日志=—	auto｜
✅	103023	获取卡牌定义的类型	卡牌定义	OnPlay → 消费者(202001).v ← 103023「获取卡牌定义的类型」.return；cardDefine ← DEFINE_OF_CASTER；取「String」通道（ResolveInputString）	ResolveInputString 返回=随从（类型 String）｜日志=—	auto｜
✅	103025	获取卡牌定义所属卡池	卡牌定义	OnPlay → 消费者(202001).v ← 103025「获取卡牌定义所属卡池」.return；cardDefine ← DEFINE_OF_CASTER；取「CardPoolIDProxy」通道（GetObjectInput）	GetObjectInput 返回=standard (TcgEngine.PackData)（类型 PackData）｜日志=—	auto｜
✅	203001	展示卡牌定义	卡牌定义	OnPlay → 203001「展示卡牌定义」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	203002	复制卡牌定义	卡牌定义	OnPlay → 消费者(202001).v ← 203002「复制卡牌定义」.return；cardDefine ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=[NodeDoc] 203002 复制卡牌定义（内存副本）：熔岩兽 → lava_beast_runtime	auto｜
✅	203003	设置卡牌定义属性	卡牌定义	OnPlay → 203003「设置卡牌定义属性」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 203003 设置卡牌定义属性：卡牌定义口为空 → 已跳过	auto｜要求执行数≥1
✅	203004	拼接卡牌定义	卡牌定义	OnPlay → 消费者(202001).v ← 203004「拼接卡牌定义」.return；cardDefines ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=[NodeDoc] 203004 拼接卡牌定义（内存副本）：熔岩兽	auto｜
✅	104003	卡牌快照类型判断	卡牌快照	OnPlay → 消费者(202001).v ← 104003「卡牌快照类型判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	104017	卡牌快照类型判断	卡牌快照	OnPlay → 消费者(202001).v ← 104017「卡牌快照类型判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	104004	卡牌快照关键词判断	卡牌快照	OnPlay → 消费者(202001).v ← 104004「卡牌快照关键词判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	104018	卡牌快照拥有标签	卡牌快照	OnPlay → 消费者(202001).v ← 104018「卡牌快照拥有标签」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	104010	获取卡牌快照拥有者	卡牌快照	OnPlay → 消费者(202001).v ← 104010「获取卡牌快照拥有者」.return；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	104015	卡牌快照具有遗言	卡牌快照	OnPlay → 消费者(202001).v ← 104015「卡牌快照具有遗言」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	104016	卡牌快照是否是陷阱	卡牌	OnPlay → 消费者(202001).v ← 104016「卡牌快照是否是陷阱」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	111001	创建集合	集合运算	OnPlay → 消费者(202001).v ← 111001「创建集合」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111002	向集合添加元素	集合运算	OnPlay → 消费者(202001).v ← 111002「向集合添加元素」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111004	获取元素数量	集合运算	OnPlay → 消费者(202001).v ← 111004「获取元素数量」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	111005	包含	集合运算	OnPlay → 消费者(202001).v ← 111005「包含」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	111013	排序	集合运算	OnPlay → 消费者(202001).v ← 111013「排序」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111009	反转集合	集合运算	OnPlay → 消费者(202001).v ← 111009「反转集合」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111010	集合去重	集合运算	OnPlay → 消费者(202001).v ← 111010「集合去重」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111011	集合相减	集合运算	OnPlay → 消费者(202001).v ← 111011「集合相减」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111014	求和	集合运算	OnPlay → 消费者(202001).v ← 111014「求和」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	111015	获取最小值	集合运算	OnPlay → 消费者(202001).v ← 111015「获取最小值」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	111016	获取最大值	集合运算	OnPlay → 消费者(202001).v ← 111016「获取最大值」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	111017	获取平均值	集合运算	OnPlay → 消费者(202001).v ← 111017「获取平均值」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	111018	集合相加	集合运算	OnPlay → 消费者(202001).v ← 111018「集合相加」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111019	获取并集	集合运算	OnPlay → 消费者(202001).v ← 111019「获取并集」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111020	获取交集	集合运算	OnPlay → 消费者(202001).v ← 111020「获取交集」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111021	是否是某集合的子集	集合运算	OnPlay → 消费者(202001).v ← 111021「是否是某集合的子集」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	111022	是否所有元素都满足条件	集合运算	OnPlay → 消费者(202001).v ← 111022「是否所有元素都满足条件」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	111023	是否有任意元素满足条件	集合运算	OnPlay → 消费者(202001).v ← 111023「是否有任意元素满足条件」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	111026	获取集合内前X个元素	集合运算	OnPlay → 消费者(202001).v ← 111026「获取集合内前X个元素」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111027	获取集合内前X个元素之外的元素	集合运算	OnPlay → 消费者(202001).v ← 111027「获取集合内前X个元素之外的元素」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111029	获取集合内元素直到条件不成立	集合运算	OnPlay → 消费者(202001).v ← 111029「获取集合内元素直到条件不成立」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111030	条件不成立后获取剩余元素	集合运算	OnPlay → 消费者(202001).v ← 111030「条件不成立后获取剩余元素」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111028	获取集合内的随机X个元素	集合运算	OnPlay → 消费者(202001).v ← 111028「获取集合内的随机X个元素」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111031	获取集合内所有元素的某项属性	集合运算	OnPlay → 消费者(202001).v ← 111031「获取集合内所有元素的某项属性」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111032	打乱集合内元素顺序	集合运算	OnPlay → 消费者(202001).v ← 111032「打乱集合内元素顺序」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111033	集合内容是否相同	集合运算	OnPlay → 消费者(202001).v ← 111033「集合内容是否相同」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	111034	获取元素在集合中的位置	集合运算	OnPlay → 消费者(202001).v ← 111034「获取元素在集合中的位置」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=-1（类型 Int32）｜日志=—	auto｜
✅	111035	合并多个集合	集合运算	OnPlay → 消费者(202001).v ← 111035「合并多个集合」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	111036	转换集合类型	集合运算	OnPlay → 消费者(202001).v ← 111036「转换集合类型」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	107001	该效果	效果	OnPlay → 消费者(202001).v ← 107001「该效果」.return；取「Effect」通道（ResolveInputEffect）	ResolveInputEffect→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	107002	效果具有标签	效果	OnPlay → 消费者(202001).v ← 107002「效果具有标签」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=[NodeDoc] 107002 效果具有标签：效果口为空（未连线且没有当前效果）→ 判假	auto｜
✅	107005	获取增益的所有效果	效果	OnPlay → 消费者(202001).v ← 107005「获取增益的所有效果」.return；取「Effect」通道（ResolveInputEffect）	ResolveInputEffect→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	107006	获取卡牌定义的所有效果	效果	OnPlay → 消费者(202001).v ← 107006「获取卡牌定义的所有效果」.return；cardDefine ← DEFINE_OF_CASTER；取「Effect」通道（ResolveInputEffect）	ResolveInputEffect 返回=after_spell_attack2 (TcgEngine.AbilityData)（类型 AbilityData）｜日志=—	auto｜
✅	107007	获取效果的合法使用目标	效果	OnPlay → 消费者(202001).v ← 107007「获取效果的合法使用目标」.return；source ← 入口「卡牌」口(施法卡)；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	107008	效果类型判断	效果	OnPlay → 消费者(202001).v ← 107008「效果类型判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=[NodeDoc] 107008 效果类型判断：效果口为空（未连线且没有当前效果）→ 判假	auto｜
✅	107010	事件效果类型判断	效果	OnPlay → 消费者(202001).v ← 107010「事件效果类型判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=[NodeDoc] 107010 事件效果类型判断：效果口为空（未连线且没有当前效果）→ 判假	auto｜
✅	207001	发动效果	效果	OnPlay → 207001「发动效果」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 207001 发动效果失败：效果口为空或该效果无组件（effect=null）	auto｜要求执行数≥1
✅	109004	获取本局游戏事件记录	事件记录	OnPlay → 消费者(202001).v ← 109004「获取本局游戏事件记录」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	109005	获取本回合事件记录	事件记录	OnPlay → 消费者(202001).v ← 109005「获取本回合事件记录」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	109006	获取前X-Y回合内的事件记录	事件记录	OnPlay → 消费者(202001).v ← 109006「获取前X-Y回合内的事件记录」.return；取「Array」通道（ResolveInputCards）	ResolveInputCards 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	109007	获取卡牌在某事件时的快照	事件记录	OnPlay → 消费者(202001).v ← 109007「获取卡牌在某事件时的快照」.return；card ← 入口「卡牌」口(施法卡)；取「CardSnapshot」通道（GetObjectInput）	GetObjectInput 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	108001	当前事件	事件	OnPlay → 消费者(202001).v ← 108001「当前事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput→ConvertToEvents(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	108002	获取变量	事件	OnPlay → 消费者(202001).v ← 108002「获取变量」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	208001	设置变量	事件	OnPlay → 208001「设置变量」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	208002	阻止事件	事件	OnPlay → 208002「阻止事件」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 208002 阻止事件：仅对「X 时」事件有效	auto｜要求执行数≥1
✅	208003	更改攻击目标	事件	OnPlay → 208003「更改攻击目标」；target ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	208004	更改使用目标	事件	OnPlay → 208004「更改使用目标」；target ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 208004 未连目标卡牌，忽略	auto｜要求执行数≥1
✅	208005	伤害/更改受伤卡牌	事件	OnPlay → 208005「伤害/更改受伤卡牌」；target ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	208006	伤害/更改伤害源	事件	OnPlay → 208006「伤害/更改伤害源」；source ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	208007	伤害/更改伤害值	事件	OnPlay → 208007「伤害/更改伤害值」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	208008	治疗/更改治疗值	事件	OnPlay → 208008「治疗/更改治疗值」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	108004	事件类型判断	事件	OnPlay → 消费者(202001).v ← 108004「事件类型判断」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	108008	获取卡牌在某事件前的快照	事件	OnPlay → 消费者(202001).v ← 108008「获取卡牌在某事件前的快照」.return；card ← 入口「卡牌」口(施法卡)；取「CardSnapshot」通道（GetObjectInput）	GetObjectInput 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	108009	获取卡牌在某事件后的快照	事件	OnPlay → 消费者(202001).v ← 108009「获取卡牌在某事件后的快照」.return；card ← 入口「卡牌」口(施法卡)；取「CardSnapshot」通道（GetObjectInput）	GetObjectInput 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	108010	获取事件重复次数	事件	OnPlay → 消费者(202001).v ← 108010「获取事件重复次数」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=1（类型 Int32）｜日志=—	auto｜
✅	208009	设置事件重复次数	事件	OnPlay → 208009「设置事件重复次数」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	109008	获取当前回合数	事件	OnPlay → 消费者(202001).v ← 109008「获取当前回合数」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=1（类型 Int32）｜日志=—	auto｜
✅	213001	设置映射	映射	OnPlay → 213001「设置映射」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 213001 映射操作失败：映射口为空（需连「创建映射集合」节点）	auto｜要求执行数≥1
✅	213002	移除映射	映射	OnPlay → 213002「移除映射」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 213002 映射操作失败：映射口为空（需连「创建映射集合」节点）	auto｜要求执行数≥1
✅	113002	是否存在映射	映射	OnPlay → 消费者(202001).v ← 113002「是否存在映射」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	209101	设置战斗BGM	其他	OnPlay → 209101「设置战斗BGM」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	209102	恢复默认BGM	其他	OnPlay → 209102「恢复默认BGM」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	105002	获取牌堆中的牌	牌堆	OnPlay → 消费者(202001).v ← 105002「获取牌堆中的牌」.return；pile ← PILE_CARD；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(1): [hero_fire#aGTp1d0YktkhfR]（类型 List`1）｜日志=—	F4：pile←102029(施法卡=英雄) → 英雄区恰 1 张｜期望元素个数 1（实际 1）
✅	105002	获取牌堆中的牌	牌堆	OnPlay → 消费者(202001).v ← 105002「获取牌堆中的牌」.return；pile ← PILE；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	F4 对照：pile←101017(玩家1牌库) → 记录个数（该夹具玩家1牌库=0，故对空集恒真）｜期望元素个数 == 玩家0.deck(25) 或 玩家1.deck(0)（实际 0）
✅	105003	获取牌堆名	牌堆	OnPlay → 消费者(202001).v ← 105003「获取牌堆名」.return；pile ← PILE；取「String」通道（ResolveInputString）	ResolveInputString 返回=牌库（类型 String）｜日志=—	F4：牌堆名（实测「牌库」）｜
✅	105004	获取牌堆所属玩家	牌堆	OnPlay → 消费者(202001).v ← 105004「获取牌堆所属玩家」.return；pile ← PILE；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	F4：牌堆所属玩家｜
✅	101017	获取牌堆	玩家	OnPlay → 消费者(202001).v ← 101017「获取牌堆」.return；取「Pile」通道（ResolveValuePile）	ResolveValuePile 返回=1|装备（类型 String）｜日志=—	区域名归一：装备区 → 装备｜
✅	101017	获取牌堆	玩家	OnPlay → 消费者(202001).v ← 101017「获取牌堆」.return；取「Pile」通道（ResolveValuePile）	ResolveValuePile 返回=1|奥秘（类型 String）｜日志=—	区域名归一：奥秘区 → 奥秘｜
✅	101017	获取牌堆	玩家	OnPlay → 消费者(202001).v ← 101017「获取牌堆」.return；取「Pile」通道（ResolveValuePile）	ResolveValuePile 返回=1|暂存区（类型 String）｜日志=—	区域名：暂存区｜
✅	106002	获取增益定义	Buff	OnPlay → 消费者(202001).v ← 106002「获取增益定义」.value；取「BuffDefine」通道（ResolveValueBuffDefine）	ResolveValueBuffDefine 返回=TcgEngine.Workshop.BuffData（类型 BuffData）｜日志=—	F11：BuffSelect 池 id → BuffData｜
✅	106002	获取增益定义	Buff	OnPlay → 消费者(202001).v ← 106002「获取增益定义」.value；取「BuffDefine」通道（ResolveValueBuffDefine）	ResolveValueBuffDefine→GetObjectInput(兜底) 返回=—（类型 String）｜日志=—	F11 负向对照：空字段 → 期望 null（记录）｜
✅	206001	添加增益	增益	OnPlay → 206001「添加增益」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	施法卡 HasBuff(buff_8c5cfda5)=True｜动作数=1；日志=—	F11：施加增益（字段 buff_id 路径；duration=99 让它不过期）｜
✅	206001	添加增益	增益	OnPlay → 206001「添加增益」；第二来源 BUFFDEF；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	施法卡 HasBuff(buff_8c5cfda5)=True｜动作数=1；日志=—	F11：施加增益（buffDefine←106002 接线路径）｜
✅	106003	是否具有增益	增益	OnPlay → 消费者(202001).v ← 106003「是否具有增益」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	F11：上面施加后，施法卡应「具有增益」｜期望 true
✅	112006	StringConst	其他	OnPlay → 消费者(202001).v ← 112006「StringConst」.value；取「String」通道（ResolveInputString）	ResolveInputString 返回=hello（类型 String）｜日志=—	字符串常量：字段 value=hello｜
✅	212002	重复动作	其他	OnPlay → 212002「重复动作」；循环体 ← 202001（value=1）；Run(OnPlay)	目标玩家 HP 30→28（扣 2，期望 2）｜动作数=2	重复 2 次 + 循环体伤害1 → 伤害 2｜
✅	212005	重复动作直到	其他	OnPlay → 212005「重复动作直到」；condition ← 布尔常量 ；循环体 ← 202001（value=1）；Run(OnPlay)	目标玩家 HP 30→28（扣 2，期望 2）｜动作数=2	重复直到：条件恒假、上限2 → 迭代2次 → 伤害 2｜
✅	212006	停止重复动作	其他	OnPlay → 212006「停止重复动作」；Run(OnPlay)	动作数=0；日志=[NodeDoc] 212006 不在循环体内，已忽略	停止重复动作：不在循环体内 → 应忽略且不报错｜
✅	212007	跳过重复动作	其他	OnPlay → 212007「跳过重复动作」；Run(OnPlay)	动作数=0；日志=[NodeDoc] 212007 不在循环体内，已忽略	跳过重复动作：不在循环体内 → 应忽略且不报错｜
