# 卡池编译冒烟（图 → AbilityData）  at=2026-09-23 20:07:28
# 列：card | effIdx | ability | trigger | target | condTrigger | condTarget | filters | status | effects | chains
spell_storm	-	graph_spell_storm_ActivateEffect_nodeee9431	OnPlay	AllCardsBoard					EffectRunGraph	
spell_submerge	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 EFCardOwner 112005 212001 202050	
spell_submerge	-	graph_spell_submerge_ActivateEffect_node01e772	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
spell_treasure	0	<效果图>	ActivateEffect	施法者玩家			0		ActivateEffect SendToPileRaw	chain_treasure
spell_treasure	-	graph_spell_treasure_ActivateEffect_nodec33c6f	OnPlay	PlayerSelf					EffectRunGraph	chain_treasure
spell_wave	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 101030 112005 212001 SendToPileRaw	
spell_wave	-	graph_spell_wave_ActivateEffect_node936ab7	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
star_tower	0	<效果图>	EventEffect	施法者玩家			0		EventEffect 210001	
star_tower	-	graph_star_tower_EventEffect_nodee27de4	OnPlayOther	PlayerSelf	ConditionCardType{has_type=Spell;oper=IsTrue} + ConditionOwner{oper=IsTrue}				EffectRunGraph	
strength_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
strength_blessing	-	trample	Ongoing	Self				Trample		
strength_blessing	-	graph_strength_blessing_ActivateEffect_nodee24644	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
town_forest	-	town_aura_green	Ongoing	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardType{has_type=None;has_team=forest;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectAddStat	
town_underwater	-	town_aura_blue	Ongoing	AllCardsHand		ConditionCardType{has_type=None;has_team=water;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectAddStat	
town_volcano	-	town_aura_red	Ongoing	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardType{has_type=None;has_team=fire;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectAddStat	
trap_explosive	0	<效果图>	EventEffect	所有角色			0		EventEffect 102032 EFCardOwner 112005 212001 202041	
trap_explosive	-	graph_trap_explosive_EventEffect_node04604c	OnBeforeAttack	AllCardsBoard	ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}	ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}			EffectRunGraph	
trap_fish	0	<效果图>	EventEffect	触发者			0		EventEffect 202029	
trap_fish	-	graph_trap_fish_EventEffect_node808248	OnPlayOther	AbilityTriggerer	ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}				EffectRunGraph	
trap_spike	-	trap_paralyse3	OnAfterAttack	AbilityTriggerer	ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}			Paralysed		
tree_angry	0	<效果图>	EventEffect	自身			0		EventEffect 202013	
tree_angry	-	graph_tree_angry_EventEffect_node516e58	StartOfTurn	Self					EffectRunGraph	
turtle	-	taunt	Ongoing	Self				Protection		
turtle	-	shell	OnPlay	Self				Shell		
unicorn	-	play_boost2	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionSelf{oper=IsFalse} + ConditionOwnerAI{oper=IsTrue}		AddAttack+AddHP		
vampire	0	<效果图>	OnKill	对手玩家			0		OnKill 202041	
vampire	-	vampire_lord	Ongoing	Self				LifeSteal		
vampire	-	graph_vampire_OnKill_nodee86e9e	OnKill	PlayerOpponent	ConditionCardType{has_type=Character;oper=IsTrue}				EffectRunGraph	
waterfowl	-	flying	Ongoing	Self				Flying		
white_swan	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 212001 202013	
white_swan	-	graph_white_swan_ActivateEffect_nodea38d76	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse}			EffectRunGraph	
wolf_alpha	0	<效果图>	ActivateEffect	所有槽位			1		ActivateEffect 202003	
wolf_alpha	-	aura_wolf	Ongoing	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardType{has_type=None;oper=IsTrue} + ConditionSelf{oper=IsFalse} + ConditionOwner{oper=IsTrue}			EffectAddStat	
wolf_alpha	-	graph_wolf_alpha_ActivateEffect_noded5f137	OnPlay	AllSlots		ConditionSlotEmpty{oper=IsTrue} + ConditionOwner{oper=IsTrue} + ConditionSlotRange{range_x=1;range_y=1;range_p=0}	FilterRandom{amount=1}		EffectRunGraph	
wolf_furious	0	<效果图>	EventEffect	自身			0		EventEffect 102004 112003 112004 202037	
wolf_furious	-	fury	Ongoing	Self				Fury		
wolf_furious	-	graph_wolf_furious_EventEffect_node1011a3	OnBeforeAttack	Self					EffectRunGraph	
wolf_stalker	-	stealth	OnPlay	Self				Stealth		
woodland	0	<效果图>	EventEffect	所有角色			0		EventEffect 202013	
woodland	-	graph_woodland_EventEffect_node45c654	StartOfTurn	AllCardsBoard		ConditionCardType{has_type=None;has_team=forest;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
world_tree_seedling	0	<效果图>	EventEffect	施法者玩家			0		EventEffect AddManaNoClamp	end_turn_blessing_chain_draw+end_turn_blessing_chain_heal
world_tree_seedling	-	graph_world_tree_seedling_EventEffect_node0be16c	EndOfTurn	PlayerSelf	ConditionTurn{oper=IsTrue}				EffectRunGraph	end_turn_blessing_chain_draw+end_turn_blessing_chain_heal
zombie	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 EFCardOwner 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
zombie	-	graph_zombie_ActivateEffect_node54209e	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
# 汇总：含图卡=93｜效果图=98｜编译能力(图)=121｜编译能力(数据直通)=41｜过滤器 DTO=8 vs 编译后=8（一致 ✓）｜连锁 DTO=15 vs 编译后=15（一致 ✓）
# 触发条件对账（全池·两条通道）：DTO 条件条数=28 vs 编译后=28｜带触发条件的卡=21（DTO 条件全部还原 ✓）
# 效果图数 ≠ ok 行数 的卡：无 ✓
# 入口 target_mode 与编译 ab.target 不一致：无 ✓
